27	96	6000
96	28	5939
75	-66	5879
-17	-99	5818
-92	-38	5758
-81	58	5697
6	100	5636
88	47	5576
87	-50	5515
4	-100	5455
-83	-56	5394
-91	40	5333
-14	99	5273
76	64	5212
95	-31	5152
24	-97	5091
-69	-72	5030
-98	21	4970
-34	94	4909
62	79	4848
99	-11	4788
44	-90	4727
-53	-85	4667
-100	0	4606
-53	85	4545
44	90	4485
99	10	4424
61	-79	4364
-35	-94	4303
-98	-20	4242
-69	72	4182
25	97	4121
95	30	4061
76	-65	4000
-15	-99	3939
-92	-40	3879
-82	57	3818
4	100	3758
87	49	3697
88	-48	3636
6	-100	3576
-81	-58	3515
-92	38	3455
-16	99	3394
75	66	3333
96	-29	3273
26	-96	3212
-68	-73	3152
-98	19	3091
-36	93	3030
60	80	2970
100	-8	2909
46	-89	2848
-51	-86	2788
-100	-2	2727
-55	84	2667
42	91	2606
99	12	2545
63	-78	2485
-33	-95	2424
-97	-22	2364
-71	71	2303
23	97	2242
95	32	2182
78	-63	2121
-12	-99	2061
-91	-42	2000
-84	55	1939
2	100	1879
86	51	1818
89	-46	1758
8	-100	1697
-80	-60	1636
-93	36	1576
-18	98	1515
74	68	1455
96	-27	1394
28	-96	1333
-66	-75	1273
-99	17	1212
-38	92	1152
58	81	1091
100	-6	1030
48	-88	970
-49	-87	909
-100	-4	848
-56	83	788
40	92	727
99	14	667
65	-76	606
-31	-95	545
-97	-25	485
-72	69	424
21	98	364
94	34	303
79	-61	242
-10	-99	182
-90	-44	121
-85	53	61
0	100	0
